ITT,DATE_TIME,TRACKLINE,TRIP_DIRECTION,DEST_STATION,DESCRIPTION,TRKID
232,7/27/2024 12:16:10 PM,Red,2,SHADY GROVE,Medical Center- Track 2; ,A10-A2-453
321,7/27/2024 12:16:11 PM,Green,2,BRANCH AVE,Navy Yard-Ballpark- Track 2;  motion;,F05-F2-121
260,7/27/2024 12:16:15 PM,Orange,2,VIENNA,Smithsonian- Track 2; ,D02-D2-30
254,7/27/2024 12:16:15 PM,Yellow,1,MT VERNON SQ,,F03-F1-26
264,7/27/2024 12:16:15 PM,Silver,1,LARGO TOWN CENTER,,G03-1ATN
270,7/27/2024 12:16:15 PM,Blue,2,FRANCONIA-SPRINGFIELD,Capitol South- Track 2; ,D05-D2-111
232,7/27/2024 12:16:15 PM,Red,2,SHADY GROVE,,A10-A2-453
321,7/27/2024 12:16:16 PM,Green,2,BRANCH AVE,Navy Yard-Ballpark- Track 2;  motion;,F05-F2-121
260,7/27/2024 12:16:20 PM,Orange,2,VIENNA,Smithsonian- Track 2; ,D02-D2-26
254,7/27/2024 12:16:20 PM,Yellow,1,MT VERNON SQ,,F03-F1-22
264,7/27/2024 12:16:20 PM,Silver,1,LARGO TOWN CENTER,,G03-3ATN
270,7/27/2024 12:16:20 PM,Blue,2,FRANCONIA-SPRINGFIELD,Capitol South- Track 2; ,D05-D2-105
232,7/27/2024 12:16:20 PM,Red,2,SHADY GROVE,,A10-A2-458
321,7/27/2024 12:16:21 PM,Green,2,BRANCH AVE,Navy Yard-Ballpark- Track 2;  motion;,F05-F2-121
260,7/27/2024 12:16:25 PM,Orange,2,VIENNA,,D02-D2-26
254,7/27/2024 12:16:25 PM,Yellow,1,MT VERNON SQ,,F03-F1-22
264,7/27/2024 12:16:25 PM,Silver,1,LARGO TOWN CENTER,Addison Road-Seat Pleasant- Track 1; ,G03-G1-469
270,7/27/2024 12:16:25 PM,Blue,2,FRANCONIA-SPRINGFIELD,Capitol South- Track 2; ,D05-D2-102
232,7/27/2024 12:16:25 PM,Red,2,SHADY GROVE,,A10-A2-463
321,7/27/2024 12:16:26 PM,Green,2,BRANCH AVE,Navy Yard-Ballpark- Track 2;  motion;,F05-F2-121
260,7/27/2024 12:16:30 PM,Orange,2,VIENNA,,D02-3BTN
254,7/27/2024 12:16:30 PM,Yellow,1,MT VERNON SQ,,F03-F1-22
264,7/27/2024 12:16:30 PM,Silver,1,LARGO TOWN CENTER,Addison Road-Seat Pleasant- Track 1; ,G03-G1-469
270,7/27/2024 12:16:30 PM,Blue,2,FRANCONIA-SPRINGFIELD,,D04-D2-99
232,7/27/2024 12:16:30 PM,Red,2,SHADY GROVE,,A10-A2-467
321,7/27/2024 12:16:31 PM,Green,2,BRANCH AVE,Navy Yard-Ballpark- Track 2; ,F05-F2-121
260,7/27/2024 12:16:35 PM,Orange,2,VIENNA,,D02-D2-19
254,7/27/2024 12:16:35 PM,Yellow,1,MT VERNON SQ,,F03-F1-22
264,7/27/2024 12:16:35 PM,Silver,1,LARGO TOWN CENTER,Addison Road-Seat Pleasant- Track 1;  motion;,G03-G1-469
270,7/27/2024 12:16:35 PM,Blue,2,FRANCONIA-SPRINGFIELD,,D04-D2-97
232,7/27/2024 12:16:37 PM,Red,2,SHADY GROVE,,A10-A2-467
321,7/27/2024 12:16:36 PM,Green,2,BRANCH AVE,Navy Yard-Ballpark- Track 2;  Doors open left,F05-F2-121
260,7/27/2024 12:16:40 PM,Orange,2,VIENNA,,D02-D2-19
