TRACKLINE,TRIP_DIRECTION,DESCRIPTION,STATION_POS,x,y
Silver,2,Farragut West,19,-8576105.446,4707552.215
Red,1,Van Ness,10,-8578532.099,4713353.375
Red,1,Van Ness,10,-8578556.367,4713407.047
Blue,2,Federal Triangle,16,-8574725.195,4706475.45
Orange,1,Federal Center SW,17,-8573244.423,4705215.746
Silver,2,Farragut West,19,-8576292.908,4707552.215
Red,1,Van Ness,10,-8578615.255,4713537.291
Red,1,Van Ness,10,-8578615.255,4713537.291
Blue,2,Federal Triangle,16,-8574724.973,4706617.334
Blue,2,Federal Triangle,16,-8574722.412,4706757.646
Yellow,2,Ronald Reagan Washington National Airport,6,-8576450.425,4700503.109
Blue,2,Smithsonian,17,-8574829.836,4705912.511
Red,2,Van Ness,10,-8578602.453,4713543.875
Red,2,Van Ness,10,-8578662.343,4713676.268
Yellow,2,Ronald Reagan Washington National Airport,6,-8576465.119,4700549.136
Yellow,1,Ronald Reagan Washington National Airport,6,-8576505.417,4700713.094
Blue,2,Smithsonian,17,-8574819.594,4706019.347
Yellow,2,Ronald Reagan Washington National Airport,6,-8576514.99,4700705.661
Blue,2,Smithsonian,17,-8574812.692,4705824.412
Red,2,Van Ness,10,-8578720.006,4713794.636
Red,1,Tenleytown,9,-8580386.682,4714133.431
Yellow,1,Ronald Reagan Washington National Airport,6,-8576557.848,4700914.936
Blue,1,Smithsonian,17,-8574788.759,4705705.279
Yellow,1,Ronald Reagan Washington National Airport,6,-8576595.251,4701031.583
Blue,2,Smithsonian,17,-8574783.304,4705706.423
Red,1,Tenleytown,9,-8580476.628,4714349.997
Yellow,1,Potomac Yard,5,-8576758.557,4698195.841
Yellow,1,Potomac Yard,5,-8576763.01,4697951.753
Yellow,1,Potomac Yard,5,-8576765.904,4697807.275
Blue,1,Smithsonian,17,-8574745.789,4705532.803
Yellow,2,Potomac Yard,5,-8576771.359,4697808.99
Blue,1,Smithsonian,17,-8574712.171,4705432.264
Yellow,2,Potomac Yard,5,-8576775.032,4697617.641
Blue,2,L Enfant Plaza Lower,18,-8574312.979,4705199.014
Yellow,2,Potomac Yard,5,-8576786.164,4697573.199
Blue,2,L Enfant Plaza Lower,18,-8574222.031,4705198.871
Yellow,2,Crystal City,7,-8576805.423,4701330.639
Silver,1,Foggy Bottom,18,-8576849.839,4707451.371
Blue,1,L Enfant Plaza Lower,18,-8574059.616,4705181.853
Orange,1,Federal Center SW,17,-8573141.898,4705215.746
Blue,2,L Enfant Plaza Lower,18,-8574058.725,4705199.014
Blue,1,L Enfant Plaza Lower,18,-8573882.507,4705182.139
Blue,1,L Enfant Plaza Lower,18,-8573744.248,4705195.01
Orange,1,Federal Center SW,17,-8573091.693,4705215.746
Yellow,2,Crystal City,7,-8577063.016,4701356.514
Orange,2,Capitol South,18,-8572482.664,4705230.047
Silver,2,Foggy Bottom,18,-8577178.343,4707465.675
Blue,2,Federal Center SW,19,-8573807.923,4705201.874
Orange,2,Capitol South,18,-8572395.612,4705229.904
Silver,1,Foggy Bottom,18,-8577179.345,4707449.654
Blue,2,Federal Center SW,19,-8573574.152,4705229.761
Blue,2,Federal Center SW,19,-8573376.448,4705230.19
Yellow,2,Crystal City,7,-8577230.106,4701326.923
Blue,2,Federal Center SW,19,-8573376.448,4705230.19
Yellow,1,Crystal City,7,-8577230.552,4701332.355
Red,2,Tenleytown,9,-8580463.381,4714355.865
Orange,2,Capitol South,18,-8572329.6,4705229.904
Blue,1,Federal Center SW,19,-8573375.001,4705215.746
Blue,1,Federal Center SW,19,-8573201.343,4705215.746
Yellow,1,Braddock Road,4,-8577371.593,4695441.898
Blue,1,Federal Center SW,19,-8572946.421,4705215.603
Yellow,1,Pentagon,9,-8577409.108,4703138.176
Blue,2,Capitol South,20,-8572482.664,4705230.047
Yellow,1,Crystal City,7,-8577429.034,4701297.188
Blue,2,Capitol South,20,-8572395.612,4705229.904
Yellow,1,Braddock Road,4,-8577459.313,4695280.025
Red,2,Fort Totten Upper,22,-8571739.718,4714421.423
Red,2,Fort Totten Upper,22,-8571769.997,4714515.322
Blue,2,Capitol South,20,-8572329.6,4705229.904
Orange,2,Capitol South,18,-8572181.99,4705229.904
Silver,2,Foggy Bottom,18,-8577518.869,4707465.532
Blue,2,Capitol South,20,-8572181.99,4705229.904
Red,2,Tenleytown,9,-8580527.167,4714516.467
Blue,1,Capitol South,20,-8572181.545,4705215.46
Yellow,1,Braddock Road,4,-8577574.195,4695072.009
Blue,1,Capitol South,20,-8571964.361,4705215.317
Yellow,2,Braddock Road,4,-8577587.999,4695079.867
Yellow,1,Crystal City,7,-8577605.476,4701265.881
Yellow,1,Pentagon,9,-8577619.279,4702946.298
Blue,2,Eastern Market,21,-8571448.283,4705303.697
Yellow,2,Pentagon,9,-8577630.189,4702957.88
Blue,2,Eastern Market,21,-8571352.66,4705266.514
Blue,1,Eastern Market,21,-8571167.313,4705153.251
Yellow,2,Braddock Road,4,-8577721.582,4694837.853
Blue,2,Eastern Market,21,-8571160.522,4705165.979
Yellow,2,Pentagon,9,-8577770.229,4702821.48
Blue,1,Eastern Market,21,-8571052.988,4705093.474
Yellow,2,Braddock Road,4,-8577826.111,4694651.847
Yellow,2,Pentagon,9,-8577868.078,4702726.116
Yellow,1,King Street,3,-8578045.744,4694329.987
Blue,1,Eastern Market,21,-8571016.475,4705074.311
Red,2,Fort Totten Upper,22,-8571799.942,4714609.08
Red,2,Tenleytown,9,-8580600.638,4714701.693
Blue,1,Eastern Market,21,-8570963.71,4705046.71
Yellow,1,King Street,3,-8578201.035,4694162.846
Blue,1,Eastern Market,21,-8570837.251,4704980.355
Yellow,1,Pentagon City,8,-8578201.146,4702125.927
Blue,2,Potomac Avenue,22,-8570241.246,4704695.062
Blue,1,Potomac Avenue,22,-8569995.675,4704671.61
Yellow,1,Pentagon City,8,-8578210.275,4702033.572
Yellow,1,Pentagon City,8,-8578223.41,4701901.902
Blue,2,Potomac Avenue,22,-8569995.675,4704686.053
Yellow,2,Pentagon City,8,-8578228.754,4701902.76
Blue,1,Potomac Avenue,22,-8569784.28,4704673.326
Blue,2,Stadium,23,-8569057.475,4705171.127
Yellow,2,Pentagon City,8,-8578246.231,4701727.346
Blue,2,Stadium,23,-8569056.584,4705487.61
Yellow,2,Pentagon City,8,-8578249.57,4701620.127
Yellow,1,King Street,3,-8578383.042,4694001.851
Blue,2,Stadium,23,-8569055.36,4705321.573
Yellow,2,King Street,3,-8578393.395,4694013.851
Blue,1,Stadium,23,-8569040.777,4705487.753
Blue,1,Stadium,23,-8569037.771,4705749.185
Blue,2,Benning Road,24,-8564988.97,4706243.892
Yellow,2,King Street,3,-8578491.468,4693927.854
Blue,1,Benning Road,24,-8564772.342,4706074.41
Red,2,Fort Totten Upper,22,-8571848.811,4714766.251
Red,1,Fort Totten Upper,22,-8571834.117,4714772.406
Blue,2,Benning Road,24,-8564763.771,4706085.995
Red,1,Fort Totten Upper,22,-8571905.473,4715002.011
Blue,1,Benning Road,24,-8564608.48,4705952.986
Red,1,Friendship Heights,8,-8580913.112,4715450.215
Red,1,Friendship Heights,8,-8580989.811,4715643.474
Red,1,Friendship Heights,8,-8581072.855,4715852.628
Blue,2,Capitol Heights,25,-8562138.078,4705899.783
Blue,2,Capitol Heights,25,-8561932.359,4705877.186
Yellow,2,King Street,3,-8578654.773,4693809.86
Blue,1,Capitol Heights,25,-8561787.199,4705838.428
Red,2,Friendship Heights,8,-8581058.161,4715858.64
Blue,2,Capitol Heights,25,-8561784.972,4705852.729
Red,2,Friendship Heights,8,-8581130.407,4716040.741
Blue,1,Capitol Heights,25,-8561545.413,4705797.382
Yellow,1,Eisenhower Avenue,2,-8579261.242,4693386.322
Yellow,1,Eisenhower Avenue,2,-8579337.162,4693305.901
Yellow,1,Eisenhower Avenue,2,-8579406.402,4693232.481
Orange,1,Capitol South,18,-8572181.545,4705215.46
Orange,1,Capitol South,18,-8571964.361,4705215.317
Silver,1,Rosslyn,17,-8579478.426,4706790.544
Blue,1,Capitol Heights,25,-8561341.809,4705728.876
